State Code,County Code,Site Number,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
5,119,7,PIKE AVE AT RIVER ROAD,Arkansas,Pulaski,North Little Rock,2011-01-12,Parts per billion,4.872727,11.6,19,10,Parts per million,0.028708,0.034,9,29,Parts per billion,1.329167,1.6,12,1.0,Parts per million,0.608333,0.7,22,8.0
18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),2003-04-13,Parts per billion,10.875,32.0,20,30,Parts per million,0.033333,0.049,11,42,Parts per billion,1.043478,2.0,9,3.0,Parts per million,0.3,0.3,0,3.0
36,81,124,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,2002-02-13,Parts per billion,27.541667,42.0,5,40,Parts per million,0.015833,0.025,9,21,Parts per billion,8.458333,21.0,5,30.0,Parts per million,0.442105,0.5,8,6.0
48,201,416,7421 Park Place Blvd,Texas,Harris,Houston,2010-09-12,Parts per billion,8.527273,18.6,23,17,Parts per million,0.022375,0.051,10,43,Parts per billion,0.525,1.5,18,1.0,Parts per million,0.0,0.0,0,0.0
6,73,1007,"330A 12TH AVE., SAN DIEGO, CA. 92112",California,San Diego,San Diego,2000-03-06,Parts per billion,32.086957,52.0,21,49,Parts per million,0.018708,0.039,11,33,Parts per billion,2.26087,3.0,7,4.0,Parts per million,0.983333,1.3,9,15.0
11,1,41,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,2005-02-21,Parts per billion,24.583333,35.0,22,33,Parts per million,0.0075,0.015,0,13,Parts per billion,9.75,35.0,13,50.0,Parts per million,0.745833,1.0,23,11.0
6,71,306,"14306 PARK AVE., VICTORVILLE, CA",California,San Bernardino,Victorville,2009-08-14,Parts per billion,8.608696,20.0,21,19,Parts per million,0.062125,0.077,11,104,Parts per billion,0.043478,1.0,0,1.0,Parts per million,0.195833,0.3,0,3.0
6,37,4006,"2425 Webster St., Long Beach, CA",California,Los Angeles,Long Beach,2011-04-26,Parts per billion,19.481818,41.2,22,39,Parts per million,0.023125,0.043,11,36,Parts per billion,0.945455,4.7,9,6.0,Parts per million,0.141667,0.3,9,3.0
6,23,1004,717 SOUTH AVENUE,California,Humboldt,Eureka,2011-02-21,Parts per billion,2.813043,10.4,20,9,Parts per million,0.026583,0.036,7,31,Parts per billion,1.795652,1.9,7,1.0,Parts per million,0.333333,0.5,23,6.0
5,119,7,PIKE AVE AT RIVER ROAD,Arkansas,Pulaski,North Little Rock,2012-05-19,Parts per billion,7.6,23.8,5,22,Parts per million,0.046833,0.059,9,50,Parts per billion,0.891667,1.3,7,1.0,Parts per million,0.233333,0.3,5,3.0
6,87,3, Center St,California,Santa Cruz,Davenport,2001-01-06,Parts per billion,8.318182,13.0,10,12,Parts per million,0.023542,0.027,10,23,Parts per billion,1.909091,3.0,21,4.0,Parts per million,0.4,0.4,0,5.0
10,3,2004,MLK BLVD AND JUSTISON ST.,Delaware,New Castle,Wilmington,2011-11-03,Parts per billion,21.913043,41.0,20,39,Parts per million,0.01525,0.039,11,33,Parts per billion,1.579167,17.7,10,24.0,Parts per million,0.4875,0.8,0,9.0
6,37,31,"1115 N. MAHAR AVENUE WILMINGTON, CA",California,Los Angeles,West Los Angeles,2001-12-03,Parts per billion,23.454545,45.0,7,42,Parts per million,0.019083,0.035,10,30,Parts per billion,1.045455,2.0,2,3.0,Parts per million,0.654167,1.6,11,18.0
48,29,55,802 Pecan Valley Drive,Texas,Bexar,San Antonio,2009-07-25,Parts per billion,2.166667,6.0,5,6,Parts per million,0.023917,0.038,10,32,Parts per billion,0.869565,6.0,18,9.0,Parts per million,0.170833,0.2,1,2.0
48,141,37,250 Rim Rd,Texas,El Paso,El Paso,2002-03-31,Parts per billion,13.15,33.0,19,31,Parts per million,0.033583,0.052,10,44,Parts per billion,3.625,6.0,8,9.0,Parts per million,0.341667,0.4,0,5.0
23,3,1100,"8 NORTHERN ROAD, PRESQUE ISLE, ME 04769",Maine,Aroostook,Presque Isle,2013-12-21,Parts per billion,2.716667,4.8,7,4,Parts per million,0.020833,0.026,23,22,Parts per billion,0.591667,0.6,0,0.0,Parts per million,0.1875,0.2,3,2.0
6,83,2004,"128 S 'H' ST, LOMPOC",California,Santa Barbara,Lompoc,2004-06-08,Parts per billion,1.73913,5.0,5,5,Parts per million,0.030708,0.033,8,28,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.3,0.3,0,3.0
36,81,124,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,2013-11-21,Parts per billion,24.1625,39.1,6,37,Parts per million,0.018958,0.028,9,26,Parts per billion,1.333333,4.7,4,6.0,Parts per million,0.2625,0.4,6,5.0
4,13,3003,2857 N MILLER RD-S SCOTTSDALE STN,Arizona,Maricopa,Scottsdale,2009-01-28,Parts per billion,22.708333,40.0,18,38,Parts per million,0.008667,0.024,9,20,Parts per billion,0.25,2.0,7,3.0,Parts per million,0.433333,0.5,22,6.0
